cell,objective,seed,cv_fold,eval_split,miou_linear,miou_conv,knn_acc,gpu_hours,peak_mem_gb,batch_config,comparable_group,source_file
byol,byol,0,,val,0.0471,0.0595,0.5768,3.89,4.81,b12xa16,multiseed,matrix_results__s0.csv
byol,byol,1,,val,0.0522,0.0721,0.583,3.89,4.81,b12xa16,multiseed,matrix_results__s1.csv
byol,byol,0,,val,0.0548,0.0499,0.6266,9.929,5.87,b32xa6,server_n1,matrix_results.csv
mae,mae,0,,val,0.0392,0.0477,0.5519,0.44,0.97,b12xa16,multiseed,matrix_results__s0.csv
mae,mae,1,,val,0.042,0.0557,0.6162,0.65,0.97,b12xa16,multiseed,matrix_results__s1.csv
mae,mae,2,,val,0.0624,0.0937,0.639,0.56,0.97,b12xa16,multiseed,matrix_results__s2.csv
mae,mae,0,,val,0.0396,0.0378,0.5436,0.485,1.32,b32xa6,server_n1,matrix_results.csv
random,random,0,,val,0.0826,0.1135,0.6079,0.0,0.32,floor (untrained),floor,matrix_results__s0.csv
random,random,1,,val,0.0855,0.1115,0.612,0.0,0.32,floor (untrained),floor,matrix_results__s1.csv
random,random,2,,val,0.0843,0.1095,0.5975,0.0,0.32,floor (untrained),floor,matrix_results__s2.csv
raw_features,raw,0,,val,0.0478,0.1448,0.5954,0.0,0.02,floor (untrained),floor,matrix_results__s0.csv
raw_features,raw,1,,val,0.0475,0.1447,0.5996,0.0,0.02,floor (untrained),floor,matrix_results__s1.csv
raw_features,raw,2,,val,0.0476,0.1447,0.6058,0.0,0.02,floor (untrained),floor,matrix_results__s2.csv
simclr,simclr,0,,val,0.051,0.0816,0.5747,3.2,,b12xa16,multiseed,matrix_results__s0.csv
simclr,simclr,1,,val,0.0507,0.0777,0.5622,3.23,,b12xa16,multiseed,matrix_results__s1.csv
simclr,simclr,0,,val,0.0382,0.0829,0.5456,7.808,5.73,b32xa6,server_n1,matrix_results.csv
spatial_jepa,spatial_jepa,0,,val,0.1158,0.1484,0.6017,0.979,1.49,b12xa16,multiseed,matrix_results__s0.csv
spatial_jepa,spatial_jepa,1,,val,0.1052,0.142,0.612,0.964,1.49,b12xa16,multiseed,matrix_results__s1.csv
spatial_jepa,spatial_jepa,2,,val,0.0834,0.1265,0.5539,0.83,1.49,b12xa16,multiseed,matrix_results__s2.csv
spatial_jepa,spatial_jepa,0,,val,0.1025,0.1619,0.5871,0.576,1.75,b32xa6,server_n1,matrix_results.csv
tjepa_h1,temporal_jepa,0,,val,0.1603,0.2003,0.6784,6.194,5.17,b12xa16,multiseed,matrix_results__s0.csv
tjepa_h1,temporal_jepa,1,,val,0.1591,0.1999,0.7033,6.288,5.17,b12xa16,multiseed,matrix_results__s1.csv
tjepa_h1,temporal_jepa,2,,val,0.1402,0.1775,0.6784,6.248,5.17,b12xa16,multiseed,matrix_results__s2.csv
tjepa_h1,temporal_jepa,0,,val,0.1738,0.2206,0.668,2.118,6.65,b32xa6,server_n1,matrix_results.csv
tjepa_noreg,temporal_jepa,0,,val,0.0611,0.0868,,2.431,5.47,b12xa16,ablation_n1,matrix_results.csv
