cell,comparable_group,batch_config,n,miou_conv_mean,miou_conv_sd,miou_linear_mean,miou_linear_sd,knn_acc_mean,knn_acc_sd,gpu_hours_mean,gpu_hours_sd
tjepa_noreg,ablation_n1,b12xa16,1,8.68,,6.11,,,,2.431,
random,floor,floor (untrained),3,11.15,0.2,8.4133,0.1457,60.58,0.7475,0.0,0.0
raw_features,floor,floor (untrained),3,14.4733,0.0058,4.7633,0.0153,60.0267,0.5232,0.0,0.0
byol,multiseed,b12xa16,2,6.58,0.891,4.965,0.3606,57.99,0.4384,3.89,0.0
mae,multiseed,b12xa16,3,6.57,2.4576,4.7867,1.2664,60.2367,4.5168,0.55,0.1054
simclr,multiseed,b12xa16,2,7.965,0.2758,5.085,0.0212,56.845,0.8839,3.215,0.0212
spatial_jepa,multiseed,b12xa16,3,13.8967,1.1261,10.1467,1.6519,58.92,3.1001,0.9243,0.082
tjepa_h1,multiseed,b12xa16,3,19.2567,1.305,15.32,1.1274,68.67,1.4376,6.2433,0.0472
byol,server_n1,b32xa6,1,4.99,,5.48,,62.66,,9.929,
mae,server_n1,b32xa6,1,3.78,,3.96,,54.36,,0.485,
simclr,server_n1,b32xa6,1,8.29,,3.82,,54.56,,7.808,
spatial_jepa,server_n1,b32xa6,1,16.19,,10.25,,58.71,,0.576,
tjepa_h1,server_n1,b32xa6,1,22.06,,17.38,,66.8,,2.118,
