cell,objective,seed,head,receptive_field,miou,probe_epochs,probe_seed
tjepa_h1,temporal_jepa,0,rf1,1,0.1604,15,0
raw_features,raw,0,rf5,5,0.2027,15,0
raw_features,raw,0,rf9,9,0.2161,15,0
tjepa_h1,temporal_jepa,0,rf5,5,0.2077,15,0
tjepa_h1,temporal_jepa,0,rf9,9,0.2121,15,0
random,random,0,rf5,5,0.1311,15,0
random,random,0,rf9,9,0.0535,15,0
raw_features,raw,1,rf5,5,0.2023,15,0
raw_features,raw,1,rf9,9,0.2137,15,0
raw_features,raw,2,rf5,5,0.2023,15,0
raw_features,raw,2,rf9,9,0.2137,15,0
tjepa_h1,temporal_jepa,1,rf5,5,0.209,15,0
tjepa_h1,temporal_jepa,1,rf9,9,0.2,15,0
tjepa_h1,temporal_jepa,2,rf5,5,0.1861,15,0
tjepa_h1,temporal_jepa,2,rf9,9,0.1844,15,0
random,random,1,rf5,5,0.1156,15,0
random,random,1,rf9,9,0.1057,15,0
random,random,2,rf5,5,0.1226,15,0
random,random,2,rf9,9,0.0994,15,0
